De;PPV
1.7;91.01
1.16;198.9
1.78;129
1.82;90.05
1.68;97.64
1.88;75.11
1.67;112.7
1.16;210
1.22;224.8
1.66;113.3
1.42;231.1
1.49;123.3
1.59;110.2
1.74;131.7
1.74;132.4
1.75;98.43
1.23;173
1.16;232.4
1.72;97.81
1.49;177.3
1.36;140.5
1.19;203.9
1.41;214.6
1.16;207.6
1.59;131.4
1.28;140
1.86;79.51
1.69;125.1
1.75;147
1.54;166.4
1.57;200.3
1.27;168.2
1.64;100.3
1.86;56.52
1.14;212.1
1.15;221.5
1.11;221.5
1.59;139.4
1.21;187.7
1.76;170.3
1.64;100.9
1.17;200.8
1.23;207.9
1.31;173.6
1.41;143.8
1.59;134.2
1.64;153.7
1.16;184.8
1.18;201.2
1.57;157
1.56;100.5
1.16;203.6
